CustomerID,Recency,Frequency,Revenue
18074,373,13,489.6
13747,373,1,79.6
12791,373,2,192.60000000000002
17908,373,58,243.28
16583,373,14,233.45
17968,373,85,277.35
14729,373,71,313.49
14237,372,9,161.0
15350,372,5,115.65
15165,372,27,487.75
17643,372,8,101.55
16274,372,67,357.95
14142,372,22,311.81
13065,372,14,205.85999999999999
18011,372,28,102.78999999999999
17732,372,18,303.97
12855,372,3,38.1
17855,372,17,208.97
17925,372,1,244.08
13108,372,10,350.06
15070,372,1,106.2
15923,372,21,127.08
16752,372,9,207.5
15922,371,12,375.40000000000003
16510,371,13,248.1
17976,371,65,353.19
17547,371,2,11.8
13958,371,5,102.45
16995,371,1,1.25
13011,371,3,50.550000000000004
16754,371,2,2002.4
14576,371,1,35.400000000000006
12738,371,11,155.35
14213,371,5,1192.2
12686,371,7,89.14
14679,371,1,2.55
17967,371,48,123.07
14589,371,3,39.75
16926,370,14,230.25
12725,370,24,427.8
14813,369,30,155.43
16718,368,45,623.75
15880,368,106,373.28
15899,368,4,56.25
18113,368,1,76.32000000000001
17860,368,58,252.8
16658,367,8,123.24
16138,367,1,7.95
18119,367,30,181.12
13786,366,7,230.39999999999998
15180,366,6,87.5
13807,366,7,112.6
16125,366,13,289.35
14821,366,2,48.800000000000004
12441,366,11,173.55
16893,366,45,145.93
15221,365,11,692.4
16679,365,3,129.75
12870,365,2,14.899999999999999
15332,365,35,1661.06
16858,365,13,405.49
13270,365,1,590.0
15347,365,5,201.60000000000002
13370,365,44,788.42
16252,365,21,295.09000000000003
14932,365,17,363.53
14355,365,11,174.4
16065,364,74,372.09
15945,364,2,181.0
17978,364,12,300.92
16795,364,66,414.88
16579,364,1,30.6
16781,364,19,327.85
17456,364,17,249.86
17307,364,1,152.64
12605,364,3,7.5
17880,364,26,458.92
14082,364,29,182.25
15723,364,41,203.1
16727,363,46,272.82
16565,363,3,173.7
15503,362,70,147.09
17251,362,39,283.28000000000003
14413,361,23,122.7
18004,361,40,169.47
16665,361,9,135.4
15454,361,25,179.1
15361,361,7,418.92
17303,360,53,250.04
17524,360,6,145.0
13948,360,3,102.0
16202,360,18,365.27
18141,360,1,35.400000000000006
16262,360,3,31.65
16812,360,15,479.35
16499,359,22,411.8
12797,359,17,313.88
13295,359,11,204.45000000000002
